Station,Depth,Species,Colony_Number,Frag_ID,Tag_ID,Timepoint,Date,Photo,Mortality_%,Notes
527D,Deep,PRUS,77,77_2,P_027,0,9/20/2024,Y,0,
527D,Deep,PRUS,69,69_16,P_079,0,9/20/2024,Y,50,
527D,Deep,PRUS,68,68_2,P_059,0,9/20/2024,Y,0,
527D,Deep,PRUS,96,96_3,P_038,0,9/20/2024,Y,0,
527D,Deep,PRUS,87,87_21,P_022,0,9/20/2024,N,MISSING,MISSING
527D,Deep,PRUS,1107,1107_20,P_050,0,9/20/2024,N,100,DEAD
527D,Deep,PRUS,97,97_21,P_023,0,9/20/2024,Y,25,
527D,Deep,PRUS,1112,1112_18,P_046,0,9/20/2024,Y,25,
527D,Deep,PRUS,86,86_3,P_013,0,9/20/2024,N,MISSING,MISSING
528D,Deep,PCOM,98,98_16,G_063,0,9/20/2024,Y,0,
528D,Deep,PCOM,1149,1149_1,G_008,0,9/20/2024,Y,0,
528D,Deep,PCOM,1105,1105_17,G_093,0,9/20/2024,Y,0,
528D,Deep,PCOM,1110,1110_1,G_020,0,9/20/2024,Y,0,
528D,Deep,PCOM,1112,1112_8,G_060,0,9/20/2024,Y,0,
528D,Deep,PCOM,1108,1108_10,G_021,0,9/20/2024,Y,0,PINK LESIONS
528D,Deep,PCOM,98,98_15,G_064,0,9/20/2024,N,MISSING,MISSING
528D,Deep,PCOM,997,997_23,G_001,0,9/20/2024,Y,0,
528D,Deep,PRUS,97,97_22,P_017,0,9/20/2024,Y,75,
528D,Deep,PRUS,1107,1107_17,P_028,0,9/20/2024,Y,25,
528D,Deep,PRUS,96,96_12,P_077,0,9/20/2024,Y,0,
528D,Deep,PRUS,79,79_9,P_062,0,9/20/2024,Y,0,
528D,Deep,PRUS,86,86_1,P_072,0,9/20/2024,N,MISSING,MISSING
528D,Deep,PRUS,68,68_8,P_056,0,9/20/2024,Y,25,
528D,Deep,PRUS,69,69_10,P_002,0,9/20/2024,Y,0,
528D,Deep,PRUS,78,78_9,P_036,0,9/20/2024,Y,0,
528D,Deep,PRUS,77,77_8,P_049,0,9/20/2024,N,100,DEAD
529D,Deep,PCOM,98,98_2,G_071,0,9/19/2024,Y,0,
529D,Deep,PCOM,997,997_13,G_053,0,9/19/2024,Y,0,
529D,Deep,PCOM,1000,1000_14,G_003,0,9/19/2024,N,MISSING,MISSING
529D,Deep,PCOM,1149,1149_24,G_047,0,9/19/2024,Y,0,
529D,Deep,PCOM,1108,1108_15,G_088,0,9/19/2024,Y,0,
529D,Deep,PCOM,1112,1112_17,G_090,0,9/19/2024,N,MISSING,MISSING
529D,Deep,PCOM,39,39_5,G_048,0,9/19/2024,Y,0,
529D,Deep,PRUS,64,64_8,P_061,0,9/19/2024,Y,25,
529D,Deep,PRUS,68,68_25,P_003,0,9/19/2024,Y,0,
